ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2024,12,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Robo,2
2024,12,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Violencia contra la mujer e integrantes,9
2024,12,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Robo,15
2024,12,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Estafa,31
2024,12,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Extorsión,3
2024,12,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Violencia contra la mujer e integrantes,739
2024,12,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Extorsión,21
2024,12,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Hurto,39
2024,12,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Robo,227
2024,12,LIMA METROPOLITANA,LIMA,SANTA ROSA,150139,Extorsión,1
2024,12,LIMA METROPOLITANA,LIMA,SANTA ROSA,150139,Hurto,9
2024,12,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,150140,Otros,379
2025,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Estafa,29
2025,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Extorsión,5
2025,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Hurto,158
2025,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Robo,30
2025,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Violencia contra la mujer e integrantes,100
2025,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Secuestro,3
2025,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Secuestro,1
2025,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Hurto,227
2025,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Secuestro,1
2025,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Violencia contra la mujer e integrantes,95
2025,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Secuestro,1
2025,1,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Extorsión,29
2025,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Estafa,114
2025,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Robo,228
2025,2,LIMA METROPOLITANA,LIMA,ANCON,150102,Violencia contra la mujer e integrantes,42
2025,2,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Hurto,64
2025,2,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Robo,10
2025,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Otros,144
2025,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Robo,41
2025,2,LIMA METROPOLITANA,LIMA,BREÑA,150105,Violencia contra la mujer e integrantes,84
2025,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Estafa,38
2025,2,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Secuestro,2
2025,2,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Estafa,13
2025,2,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Extorsión,48
2025,2,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Extorsión,5
2025,2,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Robo,2
2025,2,LIMA METROPOLITANA,LIMA,COMAS,150110,Secuestro,2
2025,2,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Estafa,19
2025,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Otros,302
2025,2,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Violencia contra la mujer e integrantes,222
2025,2,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Extorsión,3
2025,2,PROV. CONST. DEL CALLAO,CALLAO,LA PUNTA,70105,Otros,15
2025,2,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Otros,310
2025,2,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Violencia contra la mujer e integrantes,68
2025,2,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Extorsión,12
2025,2,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Robo,3
2025,2,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Estafa,45
2025,2,LIMA METROPOLITANA,LIMA,RIMAC,150128,Extorsión,19
