listing_id,source,district,ubigeo,address,urbanization,price_soles,area_m2,price_per_m2,rooms,bathrooms,parking,maintenance_fee,photos_count,district_median_price_m2,baseline_price_soles,opportunity_score_baseline,crime_index_zone,crime_trend_zone,urban_convenience_index,zone_composite_index,idh_2019,pct_pobreza_total
148742020,Urbania,BARRANCO,150104,Parque Gonzáles Prada 179,Barranco,2031120.0,243.0,8358.5,4,4,1,300.0,1,9299.0,2259657.0,0.101,0.659,estable,0.526,0.434,0.821,3.17
149815564,Urbania,BARRANCO,150104,"Malecón Castilla N 1xx, Piso 9, Barranco.",Barranco,4101080.0,342.0,11991.5,3,3,2,0.0,1,9299.0,3180258.0,-0.29,0.659,estable,0.526,0.434,0.821,3.17
149522767,Urbania,BARRANCO,150104,Jirón 28 de Julio,Barranco,4250000.0,503.0,8449.3,3,3,2,2500.0,1,9299.0,4677397.0,0.091,0.659,estable,0.526,0.434,0.821,3.17
149814482,Urbania,BARRANCO,150104,"Malecón Castilla N 1xx, Piso 4, Barranco.",Barranco,4488000.0,405.0,11081.5,4,4,3,0.0,1,9299.0,3766095.0,-0.192,0.659,estable,0.526,0.434,0.821,3.17
148741476,Urbania,BARRANCO,150104,"Av. 28 de Julio N 4, Piso 6, Barranco",Barranco,5527500.0,570.0,9697.4,2,3,6,0.0,1,9299.0,5300430.0,-0.043,0.659,estable,0.526,0.434,0.821,3.17
147111416,Urbania,BREÑA,150105,Breña,Breña,288640.0,54.0,5345.2,2,2,1,0.0,1,5231.0,282474.0,-0.022,0.421,estable,0.07,0.324,0.812,4.04
149079233,Urbania,BREÑA,150105,Av. España 711,Breña,305997.0,87.0,3517.2,3,2,0,0.0,1,5231.0,455097.0,0.328,0.421,estable,0.07,0.324,0.812,4.04
149581184,Urbania,BREÑA,150105,"Jirón Loreto N° 16xx, Dpto. 201 AL 501",Breña,348560.0,55.0,6337.5,2,2,0,0.0,1,5231.0,287705.0,-0.212,0.421,estable,0.07,0.324,0.812,4.04
148988771,Urbania,BREÑA,150105,Condominio vista verde  Jr Pucallpa 251 Breña,Breña,368500.0,78.0,4724.4,4,2,0,0.0,1,5231.0,408018.0,0.097,0.421,estable,0.07,0.324,0.812,4.04
148925621,Urbania,BREÑA,150105,"JR Rebeca Oquendo 307 URB Graden City, Breña",Breña,374000.0,79.0,4734.2,3,2,0,0.0,1,5231.0,413249.0,0.095,0.421,estable,0.07,0.324,0.812,4.04
