listing_id,url,distrito,encabezado,moneda,precio,mantenimiento,tipo_inmueble,titulo,descripcion,rooms,bedrooms,bathrooms,area_m2,address_region,address_locality
144677453,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-ascensor-144677453,CHORRILLOS,"Venta Departamento en Chorrillos S/ 425,000",PEN,425000.0,,Apartment,Venta de Departamento en Chorrillos - Lima 3 Dormitorios y - 144677453 | Urbania Peru,"¡Venta de departamentos en Chorrillos, frente al mar! Contáctame : Melissa Vicente 9 7 0 0 4 5 2 7 3 Si siempre soñaste con despertar con una vista es...",3.0,3.0,,129.0,Chorrillos,"Lima, Lima, Peru urbania, "
150881049,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-ascensor-150881049,MIRAFLORES,"Venta Departamento en Miraflores S/ 1,003,000",PEN,1003000.0,779.0,Apartment,Venta de Departamento en Miraflores - Lima 3 Dormitorios y - 150881049 | Urbania Peru,"CALLE SAN MARTIN cdra. 8 piso 6, MIRAFLORES Ref.: a pasos de la Municipalidad, parque Reducto, Larcomar, bancos, restaurantes, etc. Área total: 150 m2 An...",3.0,3.0,2.0,150.0,Miraflores,"Lima, Lima, Peru urbania, "
146559166,https://urbania.pe/inmueble/clasificado/veclniin-venta-de-local-industrial-en-independencia-lima-ascensor-146559166,INDEPENDENCIA,"Venta Local industrial en Independencia S/ 5,789,227",PEN,5789227.0,,,,,,,,,,
150943006,https://urbania.pe/inmueble/clasificado/vecltein-venta-de-terreno-en-la-castellana-santiago-de-surco-3-dormitorios-150943006,LA CASTELLANA SANTIAGO DE SURCO 3 DORMITORIOS,"Venta Terreno / Lote en La Castellana S/ 1,683,000",PEN,1683000.0,,,,,,,,,,
149965692,https://urbania.pe/inmueble/clasificado/veclniin-venta-de-local-industrial-en-villa-el-salvador-lima-149965692,VILLA EL SALVADOR,"Venta Local industrial en Villa el Salvador S/ 24,500,000",PEN,24500000.0,,,,,,,,,,
146122901,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-chosica-lurigancho-lima-5-a-mas-dormitorios-146122901,CHOSICA (LURIGANCHO),"Venta Casa en Chosica (Lurigancho) S/ 2,171,000",PEN,2171000.0,,House,Venta de Casa en Chosica (Lurigancho) - Lima 9 Dormitorios y - 146122901 | Urbania Peru,"¡Increíble oportunidad de inversión! Venta de exclusivo condominio de 1,080m2 con cuatro casas independientes con Piscina de uso común, con un área total ...",9.0,9.0,8.0,1080.0,Chosica (Lurigancho),"Lima, Lima, Peru urbania, "
150972811,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-150972811,PUEBLO LIBRE,"Venta Departamento en Pueblo Libre S/ 488,042",PEN,488042.0,240.0,Apartment,Venta de Departamento en Pueblo Libre - Lima 2 Dormitorios y - 150972811 | Urbania Peru,"Amplitud y excelente ubicación. Área total: 104 m² Cl. Abraham Valdelomar, media cdra de Av. Simón Bolívar Primera Planta Sala – comedor, excelente ilumi...",2.0,2.0,2.0,104.0,Pueblo Libre,"Lima, Lima, Peru urbania, "
150835361,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-molina-lima-5-a-mas-dormitorios-150835361,LA MOLINA,"Venta Departamento en La Molina S/ 1,206,000",PEN,1206000.0,,Apartment,Venta de Departamento en La Molina - Lima 7 Dormitorios y - 150835361 | Urbania Peru,"CONTACTO: Carla PicklingTELÉFONO: 9*2*7*9*9*6*6*7*3 ¿Te imaginas vivir en una amplia y cómoda propiedad, mientras el segundo nivel puede convertirse ...",7.0,7.0,4.0,475.0,La Molina,"Lima, Lima, Peru urbania, "
150525042,https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-miguel-lima-2-dormitorios-ascensor-150525042,SAN MIGUEL,"Venta Departamento en San Miguel S/ 420,000",PEN,420000.0,200.0,Apartment,Venta de Departamento en San Miguel - Lima 2 Dormitorios y - 150525042 | Urbania Peru,"DEPARTAMENTOS DE ESTRENO ENTREGA INMEDIATA | SAN MIGUEL Ubicado en San Miguel, cerca de avenidas principales, centros comerciales, universidades, colegio...",2.0,2.0,2.0,64.0,San Miguel,"Lima, Lima, Peru urbania, "
4559878,https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-selva-alegre-arequipa-5-a-mas-dormitorios-4559878,SELVA ALEGRE,"Venta Casa en Selva Alegre S/ 2,390,000",PEN,2390000.0,,House,Venta de Casa en Arequipa - Arequipa 15 Dormitorios y - 4559878 | Urbania Peru,Amplia casa en esquina. 404 mtr2 de terreno. Apropiada para empresa (Oficinas-Almacenes) 14 ambientes de oficinas. 8 baños. Jardín interno amplio. Co...,15.0,15.0,8.0,403.0,Selva Alegre,"Arequipa, Arequipa, Arequipa, Peru urbania"
